date,description,category,amount,type
2025-01-07,Netflix Subscription,Entertainment,-699,debit
2025-01-10,Uber Ride,Transport,-460,debit
2025-01-12,Electricity Bill,Utilities,-1900,debit
2025-01-13,Internet Bill,Utilities,-899,debit
2025-01-15,Salary Credit,Income,52000,credit
2025-01-18,Restaurant Dinner,Food,-1800,debit
2025-01-20,Amazon Purchase,Shopping,-2800,debit
2025-01-22,Gym Membership,Health,-1000,debit
2025-01-25,Swiggy Order,Food,-550,debit
2025-01-28,Petrol Fill,Transport,-2100,debit
2025-02-01,House Rent,Rent,-15000,debit
2025-02-05,Big Basket Order,Groceries,-3100,debit
2025-02-07,Spotify Subscription,Entertainment,-179,debit
2025-02-10,Auto Ride,Transport,-290,debit
2025-02-12,Electricity Bill,Utilities,-1600,debit
2025-02-13,Internet Bill,Utilities,-899,debit
2025-02-14,Valentine Dinner,Food,-2500,debit
2025-02-15,Salary Credit,Income,52000,credit
2025-02-20,Myntra Shopping,Shopping,-2400,debit
2025-02-22,Doctor Visit,Health,-750,debit
2025-02-25,Zomato Order,Food,-620,debit
2025-02-28,Bus Pass,Transport,-400,debit
2025-03-01,House Rent,Rent,-15000,debit
2025-03-05,Grocery Store,Groceries,-2700,debit
2025-03-07,Prime Video,Entertainment,-299,debit
2025-03-10,Electricity Bill,Utilities,-1800,debit
2025-03-13,Internet Bill,Utilities,-899,debit
2025-03-15,Salary Credit,Income,52000,credit
2025-03-18,Zomato Order,Food,-780,debit
2025-03-20,Flipkart Purchase,Shopping,-3200,debit
2025-03-22,Pharmacy,Health,-520,debit
2025-03-25,Swiggy Order,Food,-490,debit
2025-03-28,Metro Card,Transport,-500,debit
2025-04-01,House Rent,Rent,-15000,debit
2025-04-05,Big Basket Order,Groceries,-3000,debit
2025-04-07,Netflix Subscription,Entertainment,-699,debit
2025-04-10,Petrol Fill,Transport,-2200,debit
2025-04-12,Water Bill,Utilities,-580,debit
2025-04-13,Internet Bill,Utilities,-899,debit
2025-04-15,Salary Credit,Income,52000,credit
2025-04-18,Restaurant Dinner,Food,-1900,debit
2025-04-20,Amazon Purchase,Shopping,-2600,debit
2025-04-22,Gym Membership,Health,-1000,debit
2025-04-25,Electricity Bill,Utilities,-2000,debit
2025-04-28,Uber Ride,Transport,-410,debit
2025-05-01,House Rent,Rent,-15000,debit
2025-05-05,Grocery Store,Groceries,-2800,debit
2025-05-07,Spotify Subscription,Entertainment,-179,debit
2025-05-10,Auto Ride,Transport,-270,debit
2025-05-12,Electricity Bill,Utilities,-2200,debit
2025-05-13,Internet Bill,Utilities,-899,debit
2025-05-15,Salary Credit,Income,52000,credit
2025-05-18,Swiggy Order,Food,-820,debit
2025-05-20,Myntra Shopping,Shopping,-2100,debit
2025-05-22,Doctor Consultation,Health,-850,debit
2025-05-25,Zomato Order,Food,-560,debit
2025-05-28,Bus Pass,Transport,-400,debit
2025-06-01,House Rent,Rent,-15000,debit
2025-06-04,Big Basket Order,Groceries,-3200,debit
2025-06-07,Prime Video,Entertainment,-299,debit
2025-06-10,Petrol Fill,Transport,-2300,debit
2025-06-12,Electricity Bill,Utilities,-2400,debit
2025-06-13,Internet Bill,Utilities,-899,debit
2025-06-15,Salary Credit,Income,52000,credit
2025-06-18,Restaurant Lunch,Food,-1400,debit
2025-06-20,Amazon Purchase,Shopping,-3800,debit
2025-06-22,Medicine Purchase,Health,-480,debit
2025-06-25,Swiggy Order,Food,-640,debit
2025-06-28,Ola Ride,Transport,-350,debit
2025-07-01,House Rent,Rent,-15000,debit
2025-07-05,Grocery Store,Groceries,-2950,debit
2025-07-07,Netflix Subscription,Entertainment,-699,debit
2025-07-10,Uber Ride,Transport,-500,debit
2025-07-12,Electricity Bill,Utilities,-2600,debit
2025-07-13,Internet Bill,Utilities,-899,debit
2025-07-15,Salary Credit,Income,52000,credit
2025-07-18,Restaurant Dinner,Food,-2200,debit
2025-07-20,Flipkart Purchase,Shopping,-2800,debit
2025-07-22,Gym Membership,Health,-1000,debit
2025-07-25,Zomato Order,Food,-710,debit
2025-07-28,Metro Card,Transport,-500,debit
2025-08-01,House Rent,Rent,-15000,debit
2025-08-05,Big Basket Order,Groceries,-3100,debit
2025-08-07,Spotify Subscription,Entertainment,-179,debit
2025-08-10,Auto Ride,Transport,-310,debit
2025-08-12,Water Bill,Utilities,-620,debit
2025-08-13,Internet Bill,Utilities,-899,debit
2025-08-15,Salary Credit,Income,52000,credit
2025-08-18,Swiggy Order,Food,-880,debit
2025-08-20,Amazon Purchase,Shopping,-4500,debit
2025-08-22,Doctor Visit,Health,-900,debit
2025-08-27,Performance Bonus,Income,18000,credit
2025-08-28,Petrol Fill,Transport,-2100,debit
2025-09-01,House Rent,Rent,-15000,debit
2025-09-04,Grocery Store,Groceries,-2800,debit
2025-09-07,Prime Video,Entertainment,-299,debit
2025-09-10,Bus Pass,Transport,-400,debit
2025-09-12,Electricity Bill,Utilities,-2050,debit
2025-09-13,Internet Bill,Utilities,-899,debit
2025-09-15,Salary Credit,Income,52000,credit
2025-09-18,Restaurant Dinner,Food,-1700,debit
2025-09-20,Myntra Shopping,Shopping,-2900,debit
2025-09-22,Pharmacy,Health,-560,debit
2025-09-25,Zomato Order,Food,-490,debit
2025-09-28,Uber Ride,Transport,-430,debit
2025-10-01,House Rent,Rent,-15000,debit
2025-10-05,Big Basket Order,Groceries,-3000,debit
2025-10-07,Netflix Subscription,Entertainment,-699,debit
2025-10-10,Petrol Fill,Transport,-2400,debit
2025-10-12,Electricity Bill,Utilities,-1900,debit
2025-10-13,Internet Bill,Utilities,-899,debit
2025-10-15,Salary Credit,Income,52000,credit
2025-10-18,Zomato Order,Food,-980,debit
2025-10-20,Diwali Shopping,Shopping,-7200,debit
2025-10-22,Gym Membership,Health,-1000,debit
2025-10-28,Auto Ride,Transport,-280,debit
2025-11-01,House Rent,Rent,-15000,debit
2025-11-05,Grocery Store,Groceries,-2900,debit
2025-11-07,Spotify Subscription,Entertainment,-179,debit
2025-11-10,Metro Card,Transport,-500,debit
2025-11-12,Electricity Bill,Utilities,-1700,debit
2025-11-13,Internet Bill,Utilities,-899,debit
2025-11-15,Salary Credit,Income,52000,credit
2025-11-18,Restaurant Lunch,Food,-1300,debit
2025-11-20,Amazon Purchase,Shopping,-2400,debit
2025-11-22,Doctor Consultation,Health,-750,debit
2025-11-25,Swiggy Order,Food,-580,debit
2025-11-28,Uber Ride,Transport,-370,debit
2025-12-01,House Rent,Rent,-15000,debit
2025-12-04,Big Basket Order,Groceries,-3500,debit
2025-12-07,Prime Video,Entertainment,-299,debit
2025-12-10,Petrol Fill,Transport,-2200,debit
2025-12-12,Electricity Bill,Utilities,-1800,debit
2025-12-13,Internet Bill,Utilities,-899,debit
2025-12-15,Salary Credit,Income,52000,credit
2025-12-18,Christmas Dinner,Food,-3200,debit
2025-12-20,Year End Shopping,Shopping,-5800,debit
2025-12-22,Medicine Purchase,Health,-420,debit
2025-12-26,Year End Bonus,Income,16000,credit
2025-12-28,Bus Pass,Transport,-400,debit
2026-01-01,House Rent,Rent,-16000,debit
2026-01-05,Grocery Store,Groceries,-3000,debit
2026-01-07,Netflix Subscription,Entertainment,-799,debit
2026-01-10,Uber Ride,Transport,-480,debit
2026-01-12,Electricity Bill,Utilities,-2000,debit
2026-01-13,Internet Bill,Utilities,-999,debit
2026-01-15,Salary Credit,Income,60000,credit
2026-01-18,Restaurant Dinner,Food,-2000,debit
2026-01-20,Amazon Purchase,Shopping,-3200,debit
2026-01-22,Gym Membership,Health,-1000,debit
2026-01-25,Swiggy Order,Food,-620,debit
2026-01-28,Auto Ride,Transport,-300,debit
2026-02-01,House Rent,Rent,-16000,debit
2026-02-05,Big Basket Order,Groceries,-3100,debit
2026-02-07,Spotify Subscription,Entertainment,-199,debit
2026-02-10,Metro Card,Transport,-500,debit
2026-02-12,Electricity Bill,Utilities,-1800,debit
2026-02-13,Internet Bill,Utilities,-999,debit
2026-02-14,Valentine Dinner,Food,-2800,debit
2026-02-15,Salary Credit,Income,60000,credit
2026-02-20,Myntra Shopping,Shopping,-2600,debit
2026-02-22,Doctor Visit,Health,-800,debit
2026-02-25,Zomato Order,Food,-710,debit
2026-02-28,Petrol Fill,Transport,-2300,debit
2026-03-01,House Rent,Rent,-16000,debit
2026-03-05,Grocery Store,Groceries,-2900,debit
2026-03-07,Prime Video,Entertainment,-299,debit
2026-03-10,Electricity Bill,Utilities,-1950,debit
2026-03-13,Internet Bill,Utilities,-999,debit
2026-03-15,Salary Credit,Income,60000,credit
2026-03-18,Zomato Order,Food,-1100,debit
2026-03-20,Flipkart Purchase,Shopping,-2800,debit
2026-03-22,Pharmacy,Health,-650,debit
2026-03-23,Metro Card,Transport,-500,debit
